item_id,price_usd,square_total,square_living,square_kitchen,number_of_rooms,floor,type_of_sentence_от застройщика,type_of_sentence_от непятно кого,type_of_sentence_от посредника,type_of_sentence_от представителя застройщика,type_of_sentence_от хозяина,heating_без отопления,heating_индивидуальное,heating_странное отопление,heating_централизованное,group_city_0,group_city_1,group_city_2,region_group_0,region_group_1,region_group_2,region_group_3,region_group_4,region_group_5,street_group_0,street_group_1,street_group_2,street_group_3,street_group_4,walls_group_0,walls_group_1,walls_group_2,walls_group_3,walls_group_4
15767616,22500,52.0,26.0,14.0,1,4,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15866996,21000,47.0,25.0,10.0,1,9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
15325562,30000,90.0,63.931330539549506,19.712516940948692,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
15829567,35500,50.0,29.8,8.0,2,5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
15748085,29999,71.5,40.0,18.0,2,10,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
15417126,25500,43.0,23.0,10.0,1,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15983954,107000,78.4,34.1,15.6,2,17,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
15325615,30000,91.0,60.0,26.5,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
15539668,74000,70.0,36.0,18.0,2,8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
10809008,15500,44.0,23.0,15.0,1,3,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15965334,65000,83.0,50.0,10.0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
15410459,98000,95.0,63.931330539549506,19.0,3,8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
10510604,23000,67.0,38.0,16.0,2,3,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15949147,26500,77.0,40.0,14.0,2,3,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15587449,70000,95.4,50.0,19.712516940948692,3,13,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
